iter	Passed	Remaining
0	20	102871
1	26	66201
2	32	53953
3	38	48178
4	44	44399
5	50	41733
6	56	39990
7	61	38597
8	67	37518
9	73	36585
10	78	35817
11	84	35177
12	90	34556
13	95	34064
14	101	33611
15	106	33251
16	112	32925
17	117	32575
18	123	32314
19	128	32065
20	134	31856
21	139	31669
22	145	31497
23	151	31312
24	156	31184
25	162	31052
26	167	30909
27	174	30991
28	180	30896
29	185	30768
30	191	30685
31	196	30566
32	202	30474
33	207	30370
34	213	30302
35	219	30264
36	224	30172
37	230	30092
38	236	30086
39	242	30041
40	247	29967
41	253	29904
42	258	29842
43	264	29793
44	269	29727
45	275	29657
46	280	29595
47	286	29535
48	292	29508
49	297	29444
50	302	29399
51	308	29344
52	313	29298
53	319	29256
54	324	29206
55	330	29175
56	335	29125
57	341	29087
58	346	29053
59	352	29029
60	358	29014
61	363	28969
62	368	28906
63	374	28868
64	379	28823
65	384	28776
66	390	28751
67	395	28720
68	401	28679
69	406	28651
70	412	28611
71	417	28578
72	422	28536
73	428	28504
74	433	28464
75	438	28428
76	444	28406
77	449	28395
78	455	28358
79	460	28323
80	466	28340
81	472	28366
82	479	28388
83	485	28427
84	491	28429
85	497	28447
86	503	28454
87	510	28474
88	516	28511
89	522	28516
90	528	28506
91	533	28480
92	539	28444
93	544	28424
94	549	28394
95	555	28374
96	560	28335
97	566	28327
98	571	28308
99	577	28281
100	582	28256
101	587	28226
102	592	28191
103	598	28153
104	603	28121
105	608	28093
106	613	28054
107	618	28022
108	624	28000
109	628	27959
110	634	27937
111	639	27925
112	644	27893
113	650	27875
114	655	27857
115	660	27825
116	666	27810
117	671	27789
118	677	27768
119	682	27748
120	687	27730
121	694	27767
122	700	27764
123	706	27770
124	711	27763
125	717	27755
126	723	27748
127	728	27719
128	733	27693
129	738	27664
130	743	27635
131	748	27614
132	754	27597
133	759	27568
134	764	27543
135	769	27520
136	774	27502
137	779	27473
138	784	27447
139	790	27427
140	795	27417
141	800	27392
142	805	27372
143	811	27359
144	816	27346
145	821	27326
146	826	27301
147	831	27273
148	837	27262
149	842	27240
150	847	27224
151	852	27200
152	858	27201
153	864	27190
154	869	27175
155	875	27176
156	880	27165
157	886	27158
158	891	27137
159	896	27124
160	901	27105
161	907	27101
162	912	27084
163	917	27065
164	922	27043
165	927	27022
166	933	27007
167	938	26992
168	943	26974
169	948	26956
170	955	26980
171	962	27004
172	969	27050
173	974	27031
174	979	27010
175	984	26992
176	990	26985
177	995	26966
178	1000	26944
179	1005	26924
180	1010	26909
181	1016	26921
182	1022	26912
183	1028	26907
184	1033	26896
185	1038	26886
186	1044	26881
187	1049	26869
188	1055	26868
189	1060	26850
190	1066	26841
191	1071	26833
192	1076	26821
193	1082	26806
194	1087	26791
195	1092	26770
196	1097	26756
197	1102	26741
198	1107	26730
199	1113	26713
200	1118	26704
201	1123	26694
202	1129	26685
203	1134	26680
204	1139	26662
205	1145	26655
206	1150	26645
207	1155	26629
208	1161	26614
209	1167	26629
210	1172	26622
211	1178	26611
212	1183	26596
213	1188	26583
214	1193	26569
215	1198	26553
216	1204	26546
217	1209	26535
218	1215	26528
219	1220	26518
220	1225	26511
221	1231	26499
222	1236	26489
223	1241	26475
224	1246	26463
225	1252	26452
226	1257	26443
227	1263	26435
228	1268	26426
229	1273	26417
230	1279	26410
231	1284	26398
232	1289	26390
233	1295	26378
234	1300	26374
235	1305	26359
236	1311	26349
237	1316	26339
238	1321	26326
239	1327	26320
240	1332	26309
241	1337	26303
242	1343	26292
243	1348	26287
244	1354	26280
245	1359	26271
246	1364	26264
